id;the_geom;LAYER;SHAPENAME;BASE
1979-all-3d.33;MULTIPOLYGON (((-6.563804345311208 -118.13543098950996, -28.67301396939434 -115.84373290460806, -28.642083619150554 -115.54533164171474, -6.532873993931728 -117.8370297240017, -6.563804345311208 -118.13543098950996)));2016-chinese-temple;0;
1979-all-3d.34;MULTIPOLYGON (((-30.23241433815506 -130.88808359165344, -30.201483988045606 -130.58968232950022, -8.090204172878483 -132.88159499569204, -8.121134524214792 -133.17999625877226, -30.23241433815506 -130.88808359165344)));2016-chinese-temple;0;
1979-all-3d.35;MULTIPOLYGON (((-8.184035599416829 -129.40202148648794, -7.3905452740234265 -121.74678796864552, 0.019317778670175 -122.51484839525854, -0.7740671327158062 -130.16904746263336, -8.184035599416829 -129.40202148648794)));2016-chinese-temple;0;
1979-all-3d.36;MULTIPOLYGON (((6.572643416233115 -134.70305851836937, 15.524681288863782 -135.6309690302867, 11.048662352975125 -135.16701377457437, 6.572643416233115 -134.70305851836937)));2016-chinese-temple;0;
1979-all-3d.37;MULTIPOLYGON (((-46.00508552610298 -48.50422168159262, -42.9399414176049 -32.84768951452195, -44.47251347159042 -40.675955598618266, -46.00508552610298 -48.50422168159262)));2016-orphanage;0;
1979-all-3d.38;MULTIPOLYGON (((15.961909002487253 -127.53289205220794, 16.003149471025225 -127.13502370121344, 16.40101782009513 -127.1762641703684, 16.35977735354979 -127.574132518425, 15.961909002487253 -127.53289205220794)));2016-chinese-temple;0;
1979-all-3d.39;MULTIPOLYGON (((16.67587979427496 -120.64484253627256, 16.71712026190528 -120.24697418638938, 17.11498861063613 -120.28821465453095, 17.0737481432282 -120.6860830045425, 16.67587979427496 -120.64484253627256)));2016-chinese-temple;0;
1979-all-3d.40;MULTIPOLYGON (((4.063535924991378 6.376670308035514, 4.653349746048767 6.264688010684638, 4.503783051292237 5.478793664415747, 3.9143132962598273 5.590710634829232, 4.063535924991378 6.376670308035514)));2016-catholic-church;0;
1979-all-3d.41;MULTIPOLYGON (((7.741552770308921 -123.42575065228141, 7.78279323846346 -123.0278823002479, 8.180935846319406 -123.06850127486584, 8.139421121194513 -123.46699111839636, 7.741552770308921 -123.42575065228141)));2016-chinese-temple;0;
1979-all-3d.42;MULTIPOLYGON (((-2.011969428393062 107.10605020896413, -2.9569233511555675 102.12895199721915, -15.461399987692694 104.50305709730597, -14.516446065331053 109.4801553092824, -2.011969428393062 107.10605020896413)));base1979-church;0;
1979-all-3d.43;MULTIPOLYGON (((-202.7908184743716 -12.761840900764756, -138.28318561431473 -25.390767202262566, -149.37043932135916 -59.4259724066027, -200.52202466422253 -54.0106391598065, -202.7908184743716 -12.761840900764756)));base1979-greens;0;
1979-all-3d.44;MULTIPOLYGON (((-8.449923289046755 68.1049343075049, -5.781377506388125 82.1602380890222, 8.373178635426987 79.47284821256255, 5.704632853905226 65.41754443202426, -8.449923289046755 68.1049343075049)));base1979-greens;0;
1979-all-3d.45;MULTIPOLYGON (((-15.752291541609202 35.00615045355158, -13.312271824715111 47.85780118170828, 0.8422843179499484 45.1704113055756, -1.5977353983074003 32.318760580321936, -15.752291541609202 35.00615045355158)));base1979-greens;0;
1979-all-3d.46;MULTIPOLYGON (((-94.24608713709952 3.725082768015774, -90.98860755427772 20.882317018842244, -22.693997807681892 7.915874200966288, -24.951569088818736 -4.426656520401902, -82.19364292822375 6.441347266941929, -83.11074929039084 1.6109229229434505, -94.24608713709952 3.725082768015774)));base1979-greens;0;
1979-all-3d.47;MULTIPOLYGON (((-42.58340554919325 152.82160540934873, -33.96656780689918 192.0488562214064, -13.811989133954473 187.75606983063133, -22.17848050558935 148.47549696645368, -42.58340554919325 152.82160540934873)));base1979-greens;0;
1979-all-3d.48;MULTIPOLYGON (((-37.464403861767984 192.7938712008473, -43.91634922014201 162.50206804388026, -47.542681281991705 163.30309332326559, -49.53107476318571 154.30141108054514, -152.6926488770915 176.2741155696714, -175.23898775229912 74.20428871856844, -35.25284430044789 43.28256458757895, -38.0939988093817 31.215201106567786, -74.15446999118625 38.06165706319928, -74.79753486981431 34.67461671758818, -79.00248814511698 35.472970882760244, -80.14837677903894 29.437544040853776, -91.99100930592877 31.685991146969414, -97.56649248089306 2.3197684413539656, -100.64565003910383 2.9043785684482675, -101.12354883056722 0.387272534045955, -123.7973421928478 4.692128309223749, -125.20584530566427 -2.7264961949829085, -109.00760754113068 -5.801900308975038, -112.55702650973278 -24.313382442802197, -203.1307598651434 -6.581387753562329, -218.50910790780105 231.3551457411743, -37.464403861767984 192.7938712008473)));base1979-greens;0;
1979-all-3d.49;MULTIPOLYGON (((-143.1415827988206 -49.990478165366866, -140.46485051145268 -41.773553119158414, -131.82806523168372 -44.58705840143291, -134.50479751951278 -52.80398344737513, -143.1415827988206 -49.990478165366866)));base1979-church;0;
1979-all-3d.50;MULTIPOLYGON (((-124.03686742903619 -1.9305748878019293, -123.00142088708847 3.5231504324258824, -105.92609741621114 0.2812224655572448, -106.96154395882563 -5.172502856738603, -124.03686742903619 -1.9305748878019293)));base1979-church;0;
1979-all-3d.51;MULTIPOLYGON (((-14.516446065331053 109.4801553092824, -2.011969428393062 107.10605020896413, -2.9569233511555675 102.12895199721915, -15.461399987692694 104.50305709730597, -14.516446065331053 109.4801553092824)));base1979-church;0;
1979-all-3d.52;MULTIPOLYGON (((-23.56171321170283 71.59444496415621, -22.40400004132197 77.6921519633836, -8.313421629182578 75.01690892439909, -9.4711347973415 68.91920192634187, -23.56171321170283 71.59444496415621)));base1979-church;0;
1979-all-3d.53;MULTIPOLYGON (((-18.25592885694062 44.891695627739324, -17.57868051098674 48.45878122671575, -14.333029344865727 47.84256055385778, -15.010277690614997 44.275474954763204, -18.25592885694062 44.891695627739324)));base1979-church;0;
1979-all-3d.54;MULTIPOLYGON (((-25.828543163950872 41.49146697576297, -24.203146253522434 50.05247705397108, -21.217149295469316 49.485554440504934, -22.84254620673589 40.92454436032777, -25.828543163950872 41.49146697576297)));base1979-church;0;
1979-all-3d.55;MULTIPOLYGON (((-31.941750145394476 37.27660146673289, -31.387637404850366 40.195128458299884, -25.350738753515422 39.04896038641312, -25.90485149330559 36.13043339522851, -31.941750145394476 37.27660146673289)));base1979-church;0;
1979-all-3d.56;MULTIPOLYGON (((-19.79155640453105 27.780001886563003, -18.513322114661644 34.51249693248957, -9.586108534751386 32.817572476181496, -10.864342827917767 26.085077427252475, -19.79155640453105 27.780001886563003)));base1979-church;0;
1979-all-3d.57;MULTIPOLYGON (((-92.70843333497902 22.546181913078165, -91.19508800087146 30.517013269759182, -81.53773581351867 28.68346439429966, -83.05108114777796 20.712633036888583, -92.70843333497902 22.546181913078165)));base1979-church;0;
1979-all-3d.58;MULTIPOLYGON (((-76.32836968858524 21.15250998479565, -75.45346666742739 25.858688749340654, -79.6584199434366 26.657042914103, -78.20656683971939 34.30399300617121, -74.00161356458419 33.505638841095845, -73.35854868514745 36.89267918705774, -26.573207290475793 28.00999494178154, -29.56099468352279 12.273236847060279, -76.32836968858524 21.15250998479565)));base1979-church;0;
1979-all-3d.59;MULTIPOLYGON (((-82.6364147670794 -11.974095775235593, -79.80587901089403 2.934413638153757, -22.60653054290473 -7.925478290707291, -19.14698761112081 10.296029161551091, -27.22950510382283 11.830579272358623, -24.241717711459152 27.567337366656737, -5.797003049400111 24.06541622206996, -8.784790442792755 8.328658126730613, -11.686204944679536 8.879521883223443, -13.376663187470488 -0.0241680167141822, -6.95209935562858 -1.2439383583174148, 3.1513390773672 51.9711488099949, -1.4080290867195802 52.836792334012685, -2.548105971387217 46.83197613377056, -27.210142460313698 51.51432056859994, -23.703643263057387 69.98314795356231, 1.3130065386140743 65.23347649017555, 0.3736880714292385 60.28606038056103, 5.5612356934495395 59.3011504475049, 10.347286805671807 84.50941284367367, 5.395536802878612 85.44955414513026, 4.5904065088178925 81.20891081818581, -19.225153025632817 85.73054279102442, -15.870444307366578 103.39988556227436, 7.709317607557022 98.9230222236615, 6.72526975082641 93.74001518753467, 17.807757852087775 91.6358894203484, 16.689521822091475 85.74610959999794, 27.06461706530191 83.77628973109432, 22.72586048940245 60.92393992342102, 26.498622396262068 60.20764178965737, 24.70944487551923 50.78399474312092, 21.859565639599488 51.03992381649634, 16.14235383115396 22.388266422496923, 3.880877634721397 24.716235358571282, 2.4197089908636524 17.019549510048513, 18.336080498544035 13.997660639665074, 19.49255586631038 20.08884810391655, 28.432847143990795 18.391440708350135, 24.077510153195053 -4.54823860516974, 15.13721887536958 -2.850831210337245, 16.29369424353914 3.240356254499088, 0.35892171289297 6.265738750322763, -7.835883242874502 -33.04060566697425, -26.48783990705659 -29.499337467767152, -24.443564223120518 -18.73208140537314, -47.03316304179486 -14.443210842965462, -47.819423114494924 -18.58446419451822, -82.6364147670794 -11.974095775235593)));base1979-church;0;
1979-all-3d.60;MULTIPOLYGON (((-100.91172534847875 -3.858164589717499, -99.84972873366775 1.7354006926546828, -83.19429359027666 -1.4268071053835123, -84.2562902049922 -7.020372386993156, -100.91172534847875 -3.858164589717499)));base1979-temple;0;
1979-all-3d.61;MULTIPOLYGON (((17.48401851466571 -129.09875003157245, 16.834517768344035 -135.36459516199827, 5.121854173394733 -134.1505359903022, 5.771167507265432 -127.8862707737786, 17.48401851466571 -129.09875003157245)));void;0;
1979-all-3d.62;MULTIPOLYGON (((16.834517768344035 -135.36459516199827, 5.121854173394733 -134.1505359903022, 6.6289273303537435 -119.61101327818392, 18.34241434974646 -120.81758476121588, 16.834517768344035 -135.36459516199827)));void;0;
1979-all-3d.63;MULTIPOLYGON (((13.654595657656674 -128.70123157879934, 17.48401851466571 -129.09875003157245, 16.834517768344035 -135.36459516199827, 13.005058298092147 -134.96765808963372, 13.654595657656674 -128.70123157879934)));void;0;
1979-all-3d.64;MULTIPOLYGON (((16.14382335125195 -142.02831349123616, 15.730653685700304 -146.01437728224394, 11.858455515758244 -146.0295346284136, 12.314340483033062 -141.63137399344797, 16.14382335125195 -142.02831349123616)));void;0;
1979-all-3d.65;MULTIPOLYGON (((8.410340708441439 -141.2261253777681, 12.23980017860513 -141.6230624500818, 11.707590652893668 -146.03012517302918, 7.835392483813749 -146.045282516426, 8.410340708441439 -141.2261253777681)));void;0;
1979-all-3d.66;MULTIPOLYGON (((4.431300373306817 -140.81266955425426, 8.26075984294295 -141.2096066262633, 7.684527620262445 -146.04587306146274, 3.8123294514840254 -146.06103040503356, 4.431300373306817 -140.81266955425426)));void;0;
1979-all-3d.67;MULTIPOLYGON (((-83.63501856968236 -66.97520789419897, -85.6173302367461 -151.61429420113845, -191.62640280924765 -151.4886118548686, -192.13962887435258 -151.47474607137846, -192.73605946789152 -151.42516417479217, -193.2662922982555 -151.35045354519477, -193.9469691979952 -151.21115097102526, -194.4593580363401 -151.07291612047456, -195.0197784443254 -150.88725889802677, -195.53107893383128 -150.6846589845304, -195.99816458530194 -150.46999933136968, -196.48188460197156 -150.21562265260278, -197.0231041585493 -149.88867001870776, -197.35835214465322 -149.66146947583977, -197.95138147264612 -149.2073105013309, -198.8099443189989 -148.4071684465782, -199.3856635254138 -147.74742252497956, -199.8122477049031 -147.17132596355103, -200.21820979165625 -146.52817920623485, -200.5700292406215 -145.86374676200032, -200.8941562873151 -145.11401361210798, -201.1084125541846 -144.49675502524505, -201.37457945819546 -143.43801896333983, -201.52055565812185 -142.38653152382946, -201.54529517756447 -141.0848451965355, -198.8499533954258 -74.42833498863054, -199.93712714067897 -54.6624971368323, -83.63501856968236 -66.97520789419897, -83.63501856968236 -66.97520789419897)));base1979-wat
